Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Treasure Hunter,Adventures,Action - Traveller,,"+1 Action
+
Gain a Silver per card the player to your right gained on their last turn.When you discard this from play, you may exchange it for a Warrior.
(This is not in the Supply.)",+1,,,+,Self?,,,X,
Treasure Trove,Adventures,Treasure,,"When you play this, gain a Gold and a Copper.",,,,+,,,Self?,2,
Warrior,Adventures,Action - Attack - Traveller,,"+2 Cards
Once per Traveller you have in play (including this), each other player discards the top card of their deck and trashes it if it costs or .When you discard this from play, you may exchange it for a Hero.
(This is not in the Supply.)",,+2,,,Self?,,,,
Wine Merchant,Adventures,Action - Reserve,,"+
+1 Buy
Put this on your Tavern mat.At the end of your Buy phase, if you have at least unspent, you may discard this from your Tavern mat.",,,+1,"+, C-?",,,,,
Alchemist,Alchemy,Action,,"+2 Cards
+1 Action
At the start of Clean-up this turn, if you have a Potion in play, you may put this onto your deck.",+1,+2,,,,,,,
Apothecary,Alchemy,Action,,"+1 Card
+1 Action
Reveal the top 4 cards of your deck. Put the Coppers and Potions into your hand. Put the rest back in any order.",+1,+1-5,,,,,,,
Apprentice,Alchemy,Action,,"+1 Action
Trash a card from your hand. +1 Card per it costs. +2 Cards if it has in its cost.",+1,+X,,,1,,,,
Familiar,Alchemy,Action - Attack,,"+1 Card
+1 Action
Each other player gains a Curse.",+1,+1,,,,,1,,
Golem,Alchemy,Action,,"Reveal cards from your deck until you reveal 2 Action cards other than Golems. Discard the other cards, then play the Action cards in either order.","P1, P1",,,,,,,,
Herbalist,Alchemy,Action,,"+1 Buy
+
Once this turn, when you discard a Treasure from play, you may put it onto your deck.",,,+1,+,,,,,
Philosopher's Stone,Alchemy,Treasure,,"Count your deck and discard pile.
+ per 5 cards total between them (round down).",,,,+,,,,,
Possession,Alchemy,Action,,"The player to your left takes an extra turn after this one, in which you can see all cards they can and make all decisions for them. Any cards or they would gain on that turn, you gain instead; any cards of theirs that are trashed are set aside and put in their discard pile at end of turn.",,,,,,,,X,
Potion,Alchemy,Treasure,,,,,,+,,,,,
Scrying Pool,Alchemy,Action - Attack,,"+1 Action
Each player (including you) reveals the top card of their deck and either discards it or puts it back, your choice. Then reveal cards from your deck until revealing one that isn’t an Action. Put all of those revealed cards into your hand.",+1,+X,,,,,,,
Transmute,Alchemy,Action,,"Trash a card from your hand. If it is an…
Action card, gain a Duchy
Treasure card, gain a Transmute
Victory card, gain a Gold",,,,,1,,,1,
University,Alchemy,Action,,"+2 Actions
You may gain an Action card costing up to .",+2,,,,,,,1,
Vineyard,Alchemy,Victory,,Worth 1? per 3 Action cards you have (round down).,,,,,,,,,X
Acolyte,Allies,Action - Augur,,"You may trash an Action or Victory card from your hand to gain a Gold.
You may trash this to gain an Augur.",,,,,"1?, Self?",,,1,
Archer,Allies,Action - Attack - Clash,,"+
Each other player with 5 or more cards in hand reveals all but one, and discards one of those you choose.",,,,+,,,,,
Architects' Guild,Allies,Ally,,"When you gain a card, you may spend 2 Favors to gain a cheaper non-Victory card.",,,,,,,,1,
Band of Nomads,Allies,Ally,,"When you gain a card costing or more, you may spend a Favor, for +1 Card, or +1 Action, or +1 Buy.",+1?,+1?,+1?,,,,,,
Barbarian,Allies,Action - Attack,,"+
Each other player trashes the top card of their deck. If it costs or more they gain a cheaper card sharing a type with it; otherwise they gain a Curse.",,,,+,,,,,
Battle Plan,Allies,Action - Clash,,"+1 Card
+1 Action
You may reveal an Attack card from your hand for +1 Card.
 You may rotate any Supply pile.",+1,"+1, +1?",,,,,,,
Bauble,Allies,Treasure - Liaison,,"Choose two different options:
+1 Buy; +; +1 Favor; this turn, when you gain a card, you may put it onto your deck.",,,+1?,+?,,,,,
Blacksmith,Allies,Action - Townsfolk,,"Choose one:
Draw until you have 6 cards in hand;
or +2 Cards; or +1 Card and +1 Action.",+1?,"=6?, +2?, +1?",,,,,,,
Broker,Allies,Action - Liaison,,"Trash a card from your hand and choose one:
+1 Card per it costs;
or +1 Action per it costs; 
or + per it costs; 
or +1 Favor per it costs.",+X?,+X?,,+?,1,,,,
Capital City,Allies,Action,,"+1 Card
+2 Actions
You may discard 2 cards for +.
You may pay for +2 Cards.",+2,"+1, -2?, +2?",,"+?, -?",,,,,
Carpenter,Allies,Action,,"If no Supply piles are empty, +1 Action and gain a card costing up to .
Otherwise, trash a card from your hand and gain a card costing up to more than it.",+1?,,,,1?,,,1,
Cave Dwellers,Allies,Ally,,"At the start of your turn, you may spend a Favor, to discard a card then draw a card. Repeat as desired.",,"-1, +1",,,,,,,
Circle of Witches,Allies,Ally,,"After playing a Liaison, you may spend 3 Favors to have each other player gain a Curse.",,,,,,,1,,
City-state,Allies,Ally,,"When you gain an Action card during your turn, you may spend 2 Favors to play it.",P1,,,,,,,,
Coastal Haven,Allies,Ally,,"When discarding your hand in Clean-up, you may spend any number of Favors to keep that many cards in hand for next turn (you still draw 5).",,N +X,,,,,,,
Conjurer,Allies,Action - Duration - Wizard,,"Gain a card costing up to .
At the start of your next turn, put this into your hand.",,N +1?,,,,,,1,
Contract,Allies,Treasure - Duration - Liaison,,"+1 Favor
You may set aside an Action from your hand to play it at the start of your next turn.",N P1?,,,+,,,,,
Courier,Allies,Action,,"+
Discard the top card of your deck. Look through your discard pile; you may play an Action or Treasure from it.",P1?,,,+,,,,,
Crafters' Guild,Allies,Ally,,"At the start of your turn, you may spend 2 Favors to gain a card costing up to onto your deck.",,,,,,,,1,
Desert Guides,Allies,Ally,,"At the start of your turn, you may spend a Favor to discard your hand and draw 5 cards. Repeat as desired.",,-X +5,,,,,,,
Distant Shore,Allies,Action - Victory - Odyssey,,"+2 Cards
+1 Action
Gain an Estate.2",+1,+2,,,,,,1,2
Elder,Allies,Action - Townsfolk,,"+
You may play an Action card from your hand. When it gives you a choice of abilities (e.g. “choose one”) this turn, you may choose an extra (different) option.",P1,,,+,,,,,
Emissary,Allies,Action - Liaison,,"+3 Cards
If this made you shuffle (at least one card), +1 Action and +2 Favors.",+1?,+3,,,,,,,
Family of Inventors,Allies,Ally,,"At the start of your Buy phase, you may put a Favor token you have on a non-Victory Supply pile.
Cards cost less per Favor token on their piles.",,,,R1,,,,,
Fellowship of Scribes,Allies,Ally,,"After playing an Action, if you have 4 or fewer cards in hand, you may spend a Favor for +1 Card.",,+1,,,,,,,
Forest Dwellers,Allies,Ally,,"At the start of your turn, you may spend a Favor to look at the top 3 cards of your deck, discard any number and put the rest back in any order.",,,,,,,,,
Galleria,Allies,Action,,"+
This turn, when you gain a card costing or , +1 Buy.",,,+X,,,,,,
Gang of Pickpockets,Allies,Ally,,"At the start of your turn, discard down to 4 cards in hand unless you spend a Favor.",,-X?,,,,,,,
Garrison,Allies,Action - Duration - Fort,,"+
This turn, when you gain a card, add a token here. At the start of your next turn, remove them for +1 Card each.",,N +X,,+,,,,,
Guildmaster,Allies,Action - Liaison,,"+
This turn, when you gain a card, +1 Favor.",,,,+,,,,,
Herb Gatherer,Allies,Action - Augur,,"+1 Buy
Put your deck into your discard pile. Look through it and you may play a Treasure from it.
You may rotate the Augurs.",,,+1,,,,,,
Highwayman,Allies,Action - Duration - Attack,,"At the start of your next turn, discard this from play and +3 Cards.
Until then, the first Treasure each other player plays each turn does nothing.",,N +3,,,,,,,
Hill Fort,Allies,Action - Fort,,Gain a card costing up to . Choose one: Put it into your hand; or +1 Card and +1 Action.,+1?,+1,,,,,,1,
Hunter,Allies,Action,,"+1 Action
Reveal the top 3 cards of your deck. From those cards, put an Action, a Treasure, and a Victory card into your hand. Discard the rest.",+1,+0-3,,,,,,,
Importer,Allies,Action - Duration - Liaison,,"At the start of your next turn, gain a card costing up to .Setup: Each player gets +4 Favors.",,,,,,,,1,
Innkeeper,Allies,Action,,"+1 Action
Choose one: +1 Card; or +3 Cards, then discard 3 cards; or +5 Cards, then discard 6 cards.",+1,"+1?; +3?, -3?; +5?, -6?",,,,,,,
Island Folk,Allies,Ally,,"At the end of your turn, if the previous turn wasn't yours, you may spend 5 Favors to take another turn.",,,,,,,,,
League of Bankers,Allies,Ally,,"At the start of your Buy phase, + per 4 Favors you have (round down).",,,,**+,,,,,
League of Shopkeepers,Allies,Ally,,"After playing a Liaison, if you have 5 or more Favors, +,
and if 10 or more, +1 Action and +1 Buy.",**+1?,,**+1?,**+?,,,,,
Lich,Allies,Action - Wizard,,"+6 Cards
+2 Actions
Skip a turn.When you trash this, discard it and gain a cheaper card from the trash.",+2,+6,,,,,,,
Market Towns,Allies,Ally,,"At the start of your Buy phase, you may spend a Favor to play an Action card from your hand. Repeat as desired.",P1,,,,,,,,
Marquis,Allies,Action,,"+1 Buy
+1 Card per card in your hand. Discard down to 10 cards in hand.",,"+X, -Y",+1,,,,,,
Merchant Camp,Allies,Action,,"+2 Actions
+When you discard this from play, you may put it onto your deck.",+2,,,+,,,,,
Miller,Allies,Action - Townsfolk,,"+1 Action
Look at the top 4 cards of your deck. Put one into your hand and discard the rest.",+1,+1,,,,,,,
Modify,Allies,Action,,Trash a card from your hand. Choose one: +1 Card and +1 Action; or gain a card costing up to more than the trashed card.,+1?,+1?,,,1,,,1?,
Mountain Folk,Allies,Ally,,"At the start of your turn, you may spend 5 Favors for +3 Cards.",,+3,,,,,,,
Old Map,Allies,Action - Odyssey,,"+1 Card
+1 Action
Discard a card. +1 Card.
You may rotate the Odysseys.",+1,"+1, -1, +1",,,,,,,
Order of Astrologers,Allies,Ally,,"When shuffling, you may pick one card per Favor you spend to go on top.",,,,,,,,,
Order of Masons,Allies,Ally,,"When shuffling, you may pick up to 2 cards per Favor you spend to put into your discard pile.",,,,,,,,,
Peaceful Cult,Allies,Ally,,"At the start of your Buy phase, you may spend any number of Favors to trash that many cards from your hand.",,,,,X,,,,
Plateau Shepherds,Allies,Ally,,"When scoring, pair up your Favors with cards you have costing , for 2? per pair.",,,,,,,,,X
Royal Galley,Allies,Action - Duration,,"+1 Card
You may play a non-Duration Action card from your hand. Set it aside; if you did, then at the start of your next turn, play it.","P1, N P1",+1,,,,,,,
Sentinel,Allies,Action,,Look at the top 5 cards of your deck. You may trash up to 2 of them. Put the rest back in any order.,,,,,0-2,,,,
Sibyl,Allies,Action - Augur,,"+4 Cards
+1 Action
Put a card from your hand on top of your deck, and another on the bottom.",+1,"+4, -2",,,,,,,
Skirmisher,Allies,Action - Attack,,"+1 Card
+1 Action
+
This turn, when you gain an Attack card, each other player discards down to 3 cards in hand.",+1,+1,,+,,,,,
Sorcerer,Allies,Action - Attack - Wizard,,"+1 Card
+1 Action
Each other player names a card, then reveals the top card of their deck. If wrong, they gain a Curse.",+1,+1,,,,,1?,,
Sorceress,Allies,Action - Attack - Augur,,"+1 Action
Name a card. Reveal the top card of your deck and put it into your hand. If it's the named card, each other player gains a Curse.",+1,+1,,,,,1?,,
Specialist,Allies,Action,,"You may play an Action or Treasure from your hand.
Choose one: play it again; or gain a copy of it.","P1, P1?",,,,,,,1?,
Stronghold,Allies,Action - Duration - Victory - Fort,,"Choose one: +; or at the start of your next turn, +3 Cards.2",,N +3?,,+?,,,,,2
Student,Allies,Action - Wizard - Liaison,,"+1 Action
You may rotate the Wizards.
Trash a card from your hand. If it's a Treasure, +1 Favor and put this onto your deck.",+1,,,,1,,,,
Sunken Treasure,Allies,Treasure - Odyssey,,Gain an Action card you don't have a copy of in play.,,,,,,,,1,
Swap,Allies,Action,,"+1 Card
+1 Action
You may return an Action from your hand to its pile, to gain to your hand a different Action costing up to .",+1,+1,,,1?,,,1?,
Sycophant,Allies,Action - Liaison,,"+1 Action
Discard 3 cards. If you discarded at least one, +.When you gain or trash this, +2 Favors.",+1,-3,,+?,,,,,
Tent,Allies,Action - Fort,,"+
You may rotate the Forts.When you discard this from play, you may put it onto your deck.",,,,+,,,,,
Territory,Allies,Victory - Clash,,"Worth 1? per differently named Victory card you have.When you gain this, gain a Gold per empty Supply pile.",,,,,,,,,X
Town,Allies,Action,,"Choose one:
+1 Card and +2 Actions;
or +1 Buy and +.",+2?,+1?,+1?,+?,,,,,
Town Crier,Allies,Action - Townsfolk,,"Choose one: +; or gain a Silver; or +1 Card and +1 Action.
You may rotate the Townsfolk.",+1?,+1?,,+?,,,,1?,
Trappers' Lodge,Allies,Ally,,"When you gain a card, you may spend a Favor to put it onto your deck.",,,,,,,,,
Underling,Allies,Action - Liaison,,"+1 Card
+1 Action
+1 Favor",+1,+1,,,,,,,
Voyage,Allies,Action - Duration - Odyssey,,"+1 Action
If the previous turn wasn't yours, take an extra turn after this one, during which you can only play 3 cards from your hand.",+1,,,,,,,,
Warlord,Allies,Action - Duration - Attack - Clash,,"+1 Action
At the start of your next turn, +2 Cards. Until then, other players can't play an Action from their hand that they have 2 or more copies of in play.",+1,N +2,,,,,,,
Woodworkers' Guild,Allies,Ally,,"At the start of your Buy phase, you may spend a Favor to trash an Action card from your hand. If you did, gain an Action card.",,,,,1,,,1,
Bureaucrat,Base,Action - Attack,,Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).,,,,,,,,1,
Cellar,Base,Action,,"+1 Action
Discard any number of cards, then draw that many.",+1,"-X,+X",,,,,,,
Chapel,Base,Action,,Trash up to 4 cards from your hand.,,,,,0-4,,,,
Copper,Base,Treasure,,,,,,+,,,,,
Council Room,Base,Action,,"+4 Cards
+1 Buy
Each other player draws a card.",,+4,+1,,,,,,
Curse,Base,Curse,,-1,,,,,,,,,-1
Duchy,Base,Victory,,3,,,,,,,,,3
Estate,Base,Victory,,1,,,,,,,,,1
Festival,Base,Action,,"+2 Actions
+1 Buy
+",+2,,+1,+,,,,,
Gardens,Base,Victory,,Worth 1? per 10 cards you have (round down).,,,,,,,,,X
Gold,Base,Treasure,,,,,,+,,,,,
Laboratory,Base,Action,,"+2 Cards
+1 Action",+1,+2,,,,,,,
Library,Base,Action,,"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.",,=7,,,,,,,
Market,Base,Action,,"+1 Card
+1 Action
+1 Buy
+",+1,+1,+1,+,,,,,
Militia,Base,Action - Attack,,"+
Each other player discards down to 3 cards in hand.",,,,+,,,,,
Mine,Base,Action,,You may trash a Treasure card from your hand. Gain a Treasure card to your hand costing up to more than it.,,,,,1?,,,1,
Moat,Base,Action - Reaction,,"+2 CardsWhen another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.",,+2,,,,,,,
Moneylender,Base,Action,,You may trash a Copper from your hand for +.,,,,+?,1?,,,,
Province,Base,Victory,,6,,,,,,,,,6
Remodel,Base,Action,,Trash a card from your hand. Gain a card costing up to more than it.,,,,,1,,,1,
Silver,Base,Treasure,,,,,,+,,,,,
Smithy,Base,Action,,+3 Cards,,+3,,,,,,,
Throne Room,Base,Action,,You may play an Action card from your hand twice.,P2,,,,,,,,
Village,Base,Action,,"+1 Card
+2 Actions",+2,+1,,,,,,,
Witch,Base,Action - Attack,,"+2 Cards
Each other player gains a Curse.",,+2,,,,,1,,
Workshop,Base,Action,,Gain a card costing up to .,,,,,,,,1,
Adventurer,"Base, 1E",Action,,Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.,,+2,,,,,,,
Chancellor,"Base, 1E",Action,,"+
You may immediately put your deck into your discard pile.",,,,+,,,,,
Feast,"Base, 1E",Action,,Trash this card. Gain a card costing up to .,,,,,Self,,,1,
Spy,"Base, 1E",Action - Attack,,"+1 Card
+1 Action
Each player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.",+1,+1,,,,,,,
Thief,"Base, 1E",Action - Attack,,"Each other player reveals the top 2 cards of his deck.
If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.",,,,,,,,X,
Woodcutter,"Base, 1E",Action,,"+1 Buy
+",,,+1,+,,,,,
Artisan,"Base, 2E",Action,,"Gain a card to your hand costing up to .
Put a card from your hand onto your deck.",,,,,,,,1,
Bandit,"Base, 2E",Action - Attack,,"Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.",,,,,,,,1,
Harbinger,"Base, 2E",Action,,"+1 Card
+1 Action
Look through your discard pile. You may put a card from it onto your deck.",+1,+1,,,,,,,
Merchant,"Base, 2E",Action,,"+1 Card
+1 Action
The first time you play a Silver this turn, +.",+1,+1,,+?,,,,,
Poacher,"Base, 2E",Action,,"+1 Card
+1 Action
+
Discard a card per empty Supply pile.",+1,"+1,-X",,+,,,,,
Sentry,"Base, 2E",Action,,"+1 Card
+1 Action
Look at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.",+1,+1,,,0-2,,,,
Vassal,"Base, 2E",Action,,"+
Discard the top card of your deck. If it's an Action card, you may play it.",,,,+,,,,,
Bag of Gold,Cornucopia,Action - Prize,,"+1 Action
Gain a Gold onto your deck.
(This is not in the Supply.)",+1,,,,,,,1,
Diadem,Cornucopia,Treasure - Prize,,"+ per unused Action you have (Action, not Action card).(This is not in the Supply.)",,,,+ +,,,,,
Fairgrounds,Cornucopia,Victory,,Worth 2? per 5 differently named cards you have (round down).,,,,,,,,,X
Farming Village,Cornucopia,Action,,"+2 Actions
Reveal cards from your deck until you reveal a Treasure or Action card. Put that card into your hand and discard the rest.",+2,+1,,,,,,,
Followers,Cornucopia,Action - Attack - Prize,,"+2 Cards
Gain an Estate. Each other player gains a Curse and discards down to 3 cards in hand.
(This is not in the Supply.)",,+2,,,,,1,1,(+1?)
Fortune Teller,Cornucopia,Action - Attack,,"+
Each other player reveals cards from the top of their deck until they reveal a Victory card or a Curse. They put it on top and discard the rest.",,,,+,,,,,
Hamlet,Cornucopia,Action,,"+1 Card
+1 Action
You may discard a card for +1 Action. You may discard a card for +1 Buy.",+1-2,"+1, -2?",+1?,,,,,,
Harvest,Cornucopia,Action,,"Reveal the top 4 cards of your deck, then discard them. + per differently named card revealed.",,,,+,,,,,
Horn of Plenty,Cornucopia,Treasure,,"Gain a card costing up to per differently named card you have in play (counting this). If it's a Victory card, trash this.",,,,,Self?,,,1,
Horse Traders,Cornucopia,Action - Reaction,,"+1 Buy
+
Discard 2 cards.When another player plays an Attack card, you may first set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.",,-2,+1,+,,,,,
Hunting Party,Cornucopia,Action,,"+1 Card
+1 Action
Reveal your hand. Reveal cards from your deck until you reveal one that isn’t a copy of one in your hand. Put it into your hand and discard the rest.",+1,+2,,,,,,,
Jester,Cornucopia,Action - Attack,,"+
Each other player discards the top card of their deck. If it’s a Victory card they gain a Curse; otherwise they gain a copy of the discarded card or you do, your choice.",,,,+,,1?,1?,,
Menagerie,Cornucopia,Action,,"+1 Action
Reveal your hand. If the revealed cards all have different names, +3 Cards. Otherwise, +1 Card.",+1,"+1, +2?",,,,,,,
Princess,Cornucopia,Action - Prize,,"+1 Buy
This turn, cards cost less.(This is not in the Supply.)",,,+1,R2,,,,,
Remake,Cornucopia,Action,,"Do this twice: Trash a card from your hand, then gain a card costing exactly more than it.",,,,,2,,,2,
Tournament,Cornucopia,Action,,"+1 Action
Each player may reveal a Province from their hand. If you do, discard it and gain any Prize (from the Prize pile) or a Duchy, onto your deck. If no-one else does, +1 Card and +.",+1,+1?,,+?,,,,1?,(+3??)
